Date,Description,Montant,Payé par,Type,Part Thomas,Part Liz,Solde Thomas,Solde Liz,Commentaire
2025-07-31,Loyer + charges juillet,762.6051613,Thomas,Charge fixe,623.9496774,138.6554839,138.6554839,-138.6554839,"Fait à la main car tu es arrivé le 23/07 (voir le calcul dans la feuille ""Configuration"")"
2025-08-05,Loyer + charges août,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2025-09-05,Loyer + charges septembre,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2025-09-27,Tricount,492.14,Thomas,Courante,0,492.14,492.14,-492.14,
2029-09-29,Remboursement Tricount,492.14,Liz,Courante,492.14,0,-492.14,492.14,
2025-10-05,Loyer + charges octobres,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2025-10-30,Remboursement Tricount,276.82,Liz,Courante,276.82,0,-276.82,276.82,
2025-10-30,Virement de Liz,400,Liz,Courante,400,0,-400,400,
2025-11-05,Loyer + charges novembre,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2025-12-05,Loyer + charges décembres,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2025-12-01,Remboursement Liz,400,Liz,Courante,400,0,-400,400,
2026-01-05,Loyer + charges janvier,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2025-12-25,Noël,500,Liz,Courante,500,0,-500,500,
2025-12-30,Remboursement Liz,400,Liz,Courante,400,0,-400,400,
2026-02-05,Loyer + charges février,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2026-01-30,Remoursement loyer février,400,Liz,Courante,400,0,-400,400,
2026-01-30,Virement de Liz,150,Liz,Courante,150,0,-150,150,
2026-03-05,Loyer + charges mars,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2026-02-28,Remoursement loyer mars,400,Liz,Courante,400,0,-400,400,
2026-02-28,Virement de Liz,100,Liz,Courante,100,0,-100,100,
2026-02-28,Tricount,83.95,Thomas,Courante,0,83.95,83.95,-83.95,
2026-02-28,Coiffeur,30,Liz,Courante,30,0,-30,30,
2026-04-05,Loyer + charges avril,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2026-03-31,Remoursement loyer avril,400,Liz,Courante,400,0,-400,400,
2026-05-05,Remoursement loyer mai,400,Liz,Courante,400,0,-400,400,
2026-05-05,Virement de Liz,100,Liz,Courante,100,0,-100,100,
2026-05-05,Loyer + charges mai,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2026-05-27,Billets Colombie,2152.74,Thomas,Courante,1076.37,1076.37,1076.37,-1076.37,
2026-06-05,Loyer + charges juin,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2026-06-05,Remoursement loyer juin,400,Liz,Courante,400,0,-400,400,
2026-06-05,Virement de Liz,100,Liz,Courante,100,0,-100,100,
2026-07-05,Loyer + charges juillet,1110.58,Thomas,Charge fixe,718.6105882,391.9694118,391.9694118,-391.9694118,
2026-07-05,Remoursement loyer juillet,400,Liz,Courante,400,0,-400,400,
